City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,pinjaur,30.7972,76.9172,78.08,82,1,3.38,IN,1720471858
312,klyuchi,52.2667,79.1667,61.83,88,100,10.38,RU,1720471859
313,saida,34.8303,0.1517,71.38,63,1,7.9,DZ,1720471860
314,tual,-5.6667,132.75,78.6,82,97,20.62,ID,1720471862
315,smithers,54.7804,-127.1743,82.72,26,0,5.75,CA,1720471863
316,ranau,5.9538,116.6641,69.51,96,100,1.97,MY,1720471864
317,las veredas,23.1388,-109.7075,88.52,63,33,5.01,MX,1720471829
318,tindouf,27.6711,-8.1474,91.85,22,0,13.8,DZ,1720471866
319,myitkyina,25.3833,97.4,75.65,100,100,0.27,MM,1720471867
320,sovetskiy,61.3614,63.5842,62.64,55,13,3.18,RU,1720471869
321,barra de santo antonio,-9.4047,-35.5072,74.48,83,35,10.2,BR,1720471871
322,winnipeg,49.8844,-97.147,79.11,48,40,8.05,CA,1720471847
323,kuqa,41.7278,82.9364,74.93,43,94,8.46,CN,1720471873
324,conceicao da barra,-18.5933,-39.7322,73.04,86,15,5.79,BR,1720471870
325,pacasmayo,-7.4006,-79.5714,68.77,76,45,14.94,PE,1720471875
326,port blair,11.6667,92.75,81.16,82,71,9.33,IN,1720471876
327,laguna,38.421,-121.4238,105.64,24,0,6.91,US,1720471726
328,george town,5.4112,100.3354,80.53,83,20,2.3,MY,1720471710
329,sao felix do xingu,-6.6447,-51.995,86.88,45,62,4.38,BR,1720471879
330,sant'antioco,39.0664,8.4522,71.64,85,13,4.97,IT,1720471880
331,shizunai-furukawacho,42.3339,142.3669,64.31,93,85,2.91,JP,1720471871
332,akureyri,65.6835,-18.0878,58.93,58,20,8.05,IS,1720471883
333,chasong,41.4608,126.6414,61.56,98,62,1.92,KP,1720471884
334,alofi,-19.0595,-169.9187,73.29,64,75,20.71,NU,1720471885
335,shchyolkino,45.4291,35.8223,80.56,71,63,14.83,UA,1720471886
336,neuhof,50.4531,9.6175,64.45,80,82,2.66,DE,1720471887
337,queenstown,-31.8976,26.8753,37.81,58,3,27.2,ZA,1720471888
338,fada,7.25,4.0667,72.1,98,99,2.64,NG,1720471890
339,howrah,22.5892,88.3103,82.4,89,40,3.44,IN,1720471892
340,praia,14.9215,-23.5087,77.54,88,75,9.22,CV,1720471893
341,warangal,18.0,79.5833,77.27,94,100,5.53,IN,1720471894
342,manokwari,-0.8667,134.0833,78.69,82,100,5.97,ID,1720471895
343,biloela,-24.4167,150.5,56.53,91,2,3.31,AU,1720471896
344,coyuca de benitez,17.0333,-100.0667,87.06,66,95,7.07,MX,1720471897
345,kourou,5.1552,-52.6478,87.85,77,44,4.72,GF,1720471898
346,paita,-5.0892,-81.1144,70.52,74,15,18.01,PE,1720471899
347,bintulu,3.1667,113.0333,75.61,94,20,0.0,MY,1720471900
348,anloga,5.7947,0.8973,77.23,88,100,12.39,GH,1720471901
349,sungho 1-tong,38.9914,125.9778,71.11,96,100,2.15,KP,1720471903
350,la mira,18.035,-102.3266,87.15,66,84,11.21,MX,1720471904
351,saint cloud,45.5608,-94.1625,80.6,66,14,7.65,US,1720471839
352,kelme,55.6339,22.9342,64.42,72,69,3.27,LT,1720471906
353,hazorasp,41.3194,61.0742,73.24,31,2,11.21,UZ,1720471907
354,basco,20.4487,121.9702,84.16,74,72,8.79,PH,1720471908
355,nahiyat ghammas,31.7431,44.6196,99.19,12,0,5.99,IQ,1720471909
356,mangrol,21.1167,70.1167,84.49,80,100,9.35,IN,1720471910
357,orcopampa,-15.2661,-72.3417,56.46,23,1,10.29,PE,1720471912
358,okha,53.5739,142.9478,48.87,99,100,11.5,RU,1720471913
359,ayr,55.4627,-4.6339,60.78,63,20,3.44,GB,1720471914
360,santa maria do suacui,-18.1903,-42.4142,73.04,46,71,4.68,BR,1720471915
361,tindivanam,12.25,79.65,83.37,63,100,11.48,IN,1720471916
362,tabas,33.5959,56.9244,98.82,14,2,11.5,IR,1720471917
